Frequency [Hz],V_in [V],V_out [V]
1,1.03,2.11
2,1.05,2.13
4,1.05,2.11
8,1.05,2.04
16,1.05,2.04
20,1.05,2.11
30,1.05,2.11
40,1.05,2.11
50,1.05,2.09
60,1.05,2.05
70,1.05,2.01
75,1.05,1.99
80,1.05,1.95
85,1.05,1.91
90,1.05,1.87
95,1.05,1.81
100,1.05,1.77
105,1.05,1.73
110,1.05,1.67
115,1.05,1.6
120,1.05,1.54
125,1.05,1.49
130,1.05,1.42
135,1.05,1.36
140,1.05,1.3
145,1.05,1.26
150,1.05,1.22
160,1.05,1.12
170,1.05,1.03
180,1.05,0.95
190,1.05,0.87
200,1.05,0.81
210,1.05,0.75
220,1.05,0.69
230,1.05,0.65
240,1.05,0.61
250,1.05,0.57
270,1.05,0.51
290,1.05,0.47
300,1.05,0.45
350,1.05,0.37
400,1.05,0.3
500,1.01,0.2
600,1.01,0.15
700,1.01,0.13
800,1.01,0.13
900,1.01,0.13
1000,1.01,0.13
1500,1.01,0.13
