Frequency [Hz],V_in [V],V_out [V],Gain,Gain [dB]
1,1.03,2.11,2.05,6.23
2,1.05,2.13,2.03,6.14
4,1.05,2.11,2.01,6.06
8,1.05,2.04,1.94,5.77
16,1.05,2.04,1.94,5.77
20,1.05,2.11,2.01,6.06
30,1.05,2.11,2.01,6.06
40,1.05,2.11,2.01,6.06
50,1.05,2.09,1.99,5.98
60,1.05,2.05,1.95,5.81
70,1.05,2.01,1.91,5.64
75,1.05,1.99,1.9,5.55
80,1.05,1.95,1.86,5.38
85,1.05,1.91,1.82,5.2
90,1.05,1.87,1.78,5.01
95,1.05,1.81,1.72,4.73
100,1.05,1.77,1.69,4.54
105,1.05,1.73,1.65,4.34
110,1.05,1.67,1.59,4.03
115,1.05,1.6,1.52,3.66
120,1.05,1.54,1.47,3.33
125,1.05,1.49,1.42,3.04
130,1.05,1.42,1.35,2.62
135,1.05,1.36,1.3,2.25
140,1.05,1.3,1.24,1.86
145,1.05,1.26,1.2,1.58
150,1.05,1.22,1.16,1.3
160,1.05,1.12,1.07,0.56
170,1.05,1.03,0.98,-0.17
180,1.05,0.95,0.9,-0.87
190,1.05,0.87,0.83,-1.63
200,1.05,0.81,0.77,-2.25
210,1.05,0.75,0.71,-2.92
220,1.05,0.69,0.66,-3.65
230,1.05,0.65,0.62,-4.17
240,1.05,0.61,0.58,-4.72
250,1.05,0.57,0.54,-5.31
270,1.05,0.51,0.49,-6.27
290,1.05,0.47,0.45,-6.98
300,1.05,0.45,0.43,-7.36
350,1.05,0.37,0.35,-9.06
400,1.05,0.3,0.29,-10.88
500,1.01,0.2,0.2,-14.07
600,1.01,0.15,0.15,-16.56
700,1.01,0.13,0.13,-17.81
800,1.01,0.13,0.13,-17.81
900,1.01,0.13,0.13,-17.81
1000,1.01,0.13,0.13,-17.81
1500,1.01,0.13,0.13,-17.81
