Frequency,Measured_Original,Measured_HighVoltage,Simulated
2,0,-1.69,39.56
3,0,-1.49,40.03
4,0,-1.29,40.06
5,0,-1.09,40.09
6,0,-0.9,40.13
7,0,-0.7,40.18
8,0,-0.5,40.23
9,0,-0.3,40.3
10,0,-0.11,40.36
20,0,1.87,41.39
30,0,3.85,42.89
40,0,5.82,44.63
50,0,7.8,46.42
60,0,9.77,48.14
70,0,11.75,49.7
80,0,13.73,51.08
90,0,15.7,52.29
100,6.8,17.68,53.35
200,17.2,40.13,58.72
300,31.71,43.86,59.78
400,42.92,47.06,56.51
500,45.76,41.91,47.41
600,46.01,38.68,35.39
700,42.31,34.65,25.46
800,35.46,29.29,19.14
900,30.88,26.94,15.47
1000,25.9,19.96,13.28
1100,20.77,19.48,11.87
1200,16.44,19,10.86
1300,14.22,17.03,10.07
1400,12.73,15.07,9.4
1500,8.81,12.14,8.82
1600,7.92,9.21,8.28
1700,7.83,8.18,7.79
1800,4.97,7.15,7.34
1900,5.47,5.03,6.91
2000,2.6,2.92,6.52
3000,2.11,1.59,3.76
4000,1.06,0.99,2.36
5000,0.86,1.34,1.6
6000,0.48,1.69,1.14
7000,0.64,2.04,0.86
8000,0.74,2.39,0.66
9000,0,2.74,0.53
10000,0,3.09,0.43
20000,0,6.59,0.11
30000,0,10.09,0.05
40000,-0.37,13.59,0.03
50000,-0.46,17.09,0.02
60000,0,20.59,0.01
70000,-0.56,24.09,0.01
80000,-0.64,27.59,0.01
90000,0,31.09,0.01
100000,-0.31,34.59,0
200000,-0.35,69.59,0
300000,0,104.59,0
400000,0,139.59,0
500000,0.4,174.59,0
600000,0.97,209.59,0
700000,0.56,244.59,0
800000,0,279.59,0
900000,0,314.59,0
1000000,0.63,349.59,0
2000000,1.8,699.58,0
3000000,4.11,1049.57,0
4000000,6.03,1399.57,0
5000000,8.23,1749.56,0
6000000,9.53,2099.55,0
7000000,10.4,2449.55,0
8000000,12.89,2799.54,0
9000000,12.74,3149.53,0
10000000,11.41,3499.52,0
20000000,22.47,6999.45,0
