Frequency,V_in,V_out
2,5.11,0.110
3,5.11,0.110
4,5.11,0.110
5,5.11,0.110
6,5.11,0.110
7,5.11,0.110
8,5.11,0.110
9,5.11,0.110
10,5.11,0.110
20,5.11,0.110
30,5.11,0.110
40,5.11,0.110
50,5.11,0.110
60,5.11,0.110
70,5.11,0.110
80,5.11,0.110
90,5.11,0.110
100,5.11,0.110
200,5.11,0.160
300,5.11,0.260
400,5.11,0.460
500,5.11,0.760
600,5.07,1.14
700,5.03,1.61
800,5.03,2.07
900,5.03,2.51
1000,4.98,2.89
1100,4.98,3.22
1200,4.94,3.46
1300,4.94,3.66
1400,4.94,3.86
1500,4.90,3.98
1600,4.90,4.06
1700,4.90,4.14
1800,4.86,4.22
1900,4.86,4.30
2000,4.86,4.34
3000,4.86,4.58
4000,4.86,4.66
5000,4.86,4.70
6000,4.86,4.74
7000,4.86,4.74
8000,4.86,4.78
9000,4.86,4.78
10000,4.86,4.78
20000,4.86,4.78
30000,4.86,4.78
40000,4.86,4.78
50000,4.86,4.74
60000,4.86,4.74
70000,4.86,4.74
80000,4.86,4.70
90000,4.86,4.70
100000,4.86,4.70
200000,4.86,4.62
300000,4.86,4.62
400000,4.86,4.62
500000,4.86,4.62
600000,4.82,4.62
700000,4.78,4.62
800000,4.78,4.62
900000,4.78,4.62
1000000,4.78,4.62
2000000,4.54,4.54
3000000,4.22,4.46
4000000,3.82,4.38
5000000,3.50,4.30
6000000,3.18,4.30
7000000,2.93,4.22
8000000,2.69,4.22
9000000,2.50,4.23
10000000,2.34,4.23
20000000,1.36,4.31
